SMILES,Predicted Side Effects,Severity,Severity Score
O=C(C1[C@@H](C(=C(NC=1c1ccc(-n2c3ccncc3nc2C)cc1)C)C(=O)Nc1ccccn1)c1ccccc1Cl)OCC,"headache, dizziness, skin rash, diarrhea, nausea",Not Severe,0.0946
C(O)C1C(O)C(O)C(OC2OC(C(C(O)C2O)O)C)C(O1)Oc1cc2c(C(CC(c3ccc(O)cc3)O2)=O)c(c1)O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.0963
c1csc2c1C(c1ccccc1CC2=O)=C1CCN(C)CC1,"constipation, headache, fatigue, stomach irritation, kidney damage",Not Severe,0.2036
c1cc(ccc1)-c1cc(c2c(cc(O)c(O)c2O)o1)=O,"nausea, diarrhea, headache, dizziness, vomiting",Not Severe,0.2202
O[C@H]1[C@H]([C@H](n2cnc(n2)C(=O)N)O[C@@H]1CO)O,"dizziness, diarrhea, nausea, headache, vomiting",Not Severe,0.1306
c1c(c(ccc1)F)CSc1[nH]c(=O)c2=CC(=C(NC=c2n1)OC)OC,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1136
Oc1c(c(O)c(cc1[C@@H]1C[C@@H](O[C@@H]2C[C@H](O[C@@H]([C@H]2O)N(C)C)O)[C@H]([C@@H]([C@H](C)O1)CC)O)O)O,"nausea, diarrhea, vomiting, itching, dizziness",Not Severe,0.1772
c1c(O)ccc(NC(/C=C(C)/C=C/C=C(C)/C=C/C2=C(CCCC2(C)C)C)=O)c1,"skin dryness, night-blindness, photosensitivity, stomach upset, cough",Not Severe,0.0824
O(C(=O)C1=C(c2ccc(cc2)-n2c(C)nc3c2ccnc3)NC(C)=C(C(Nc2ncccc2)=O)[C@H]1c1c(cccc1)Cl)CC,"headache, diarrhea, dizziness, vomiting, nausea",Not Severe,0.1482
C(=C/C=C/C(=C/C(=O)Nc1ccc(cc1)O)C)(\C=C\C1=C(CCCC1(C)C)C)C,"headache, diarrhea, dizziness, vomiting, nausea",Not Severe,0.1207
O=c1n(ccc(N)n1)[C@@H]1O[C@](COC(=O)C(C)C)([C@@H](OC(C(C)C)=O)[C@H]1OC(=O)C(C)C)N=[N+]=[N-],"diarrhea, headache, nausea, dizziness, vomiting",Not Severe,0.1016
O=c1c2c(O)cc(cc2oc(-c2ccc(c(O)c2)O)c1OC1C(C(C(C(O1)CO)O)O)O)O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.099
CC(C)C(=O)OC[C@H]1O[C@@H](n2cc/c([nH]c2=O)=N/O)[C@@H]([C@@H]1O)O,"nausea, diarrhea, dizziness, headache, vomiting",Not Severe,0.1097
O=c1c2c(=CNC(OC)=C(OC)C=2)nc(SCc2ccccc2F)[nH]1,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.1667
C[C@@]12CCC/C(=C\C=C3\C[C@H](CCC3=C)O)[C@@H]2CC[C@@H]1[C@@H](CCCC(C)C)C,"nausea, diarrhea, itching, stomach pain, vomiting",Not Severe,0.1395
n1cc(ccc1C(c1ccccc1)CCN(C)C)Cl,"dizziness, fatigue, headache, constipation, drowsiness",Not Severe,0.24
c1(c(oc2cc(O)cc(c2c1=O)O)-c1cc(c(O)c(O)c1)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1719
c1c(O)c2c(oc(-c3ccc(cc3)O)c(c2=O)O)cc1O,"diarrhea, nausea, headache, dizziness, vomiting",Not Severe,0.1893
C(=O)(Cn1nnnc1SCC1C(N(C(C2C(C)C(N)C(=O)NC=21)=O)C)=O)O,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.1004
c1c(N=C(N(C)C)SCCNC)n(cn1)C,"dizziness, bloating, gas, diarrhea, belly pain",Not Severe,0.1435
c1c(-c2oc3c(c(O)cc(c3c(=O)c2)O)-c2c(cc3oc(cc(c3c2O)=O)-c2ccc(cc2)O)O)ccc(O)c1,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.2245
[Na+].c1(ccccc1)C(c1c(cccc1)C(C)C(=O)[O-])C,"dizziness, headache, nausea, vomiting, diarrhea",Not Severe,0.1209
C(=O)(O)c1c(OC(C)=O)cccc1,"diarrhea, dizziness, headache, nausea, skin irritation",Not Severe,0.1958
C1(O)C(C(O)C(C)OC1OC1C(C(C(OC1Oc1cc2c(C(CC(c3ccc(cc3)O)O2)=O)c(O)c1)CO)O)O)O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1027
O([C@H]1CN2CC[C@@H]([C@@H]2[C@H]([C@@H]1O)O)O)C(=O)CCC,"nausea, diarrhea, dizziness, itching, vomiting",Not Severe,0.1438
c1(CSc2[nH]c(c3=CC(OC)=C(OC)NC=c3n2)=O)c(cccc1)F,"headache, dizziness, vomiting, nausea, diarrhea",Not Severe,0.13
O(C[C@]1(N=[N+]=[N-])[C@H]([C@H]([C@H](n2ccc(N)nc2=O)O1)OC(=O)C(C)C)OC(C(C)C)=O)C(C(C)C)=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.0737
c1c2c(c(c(-c3ccc(O)cc3)co2)=O)ccc1O,"nausea, diarrhea, headache, dizziness, flatulence",Not Severe,0.3044
c1(cc(OC)c(C(C=Cc2ccccc2)=O)c(c1)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1068
OC1C(C(CO)OC(Oc2cc(c3c(c2)OC(c2ccc(O)cc2)CC3=O)O)C1OC1OC(C)C(O)C(O)C1O)O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.0985
C1C(=C2c3c(C(Cc4c2cccc4)=O)scc3)CCN(C)C1,"headache, fatigue, stomach irritation, kidney damage, bleeding",Not Severe,0.1523
C(c1cccc(c1)C)(=O)N(CC)CC,"skin irritation, redness, swelling, seizures, tremors",Not Severe,0.2649
CNCCSC(=Nc1n(C)cnc1)N(C)C,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.137
O1[C@@H](n2c(nc(N)cc2)=O)[C@@H]([C@@H]([C@@]1(N=[N+]=[N-])COC(C(C)C)=O)OC(C(C)C)=O)OC(C(C)C)=O,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1031
C12/[C@@]3(O)[C@@H](C=C([C@H]([C@H]3OC2)O)C)C(=O)O[C@H]2C[C@H](O[C@@]3(C2)O[C@@H]([C@H](CC3)C)[C@H](CC)C)C/C=C(\C)[C@H]([C@@H](C)/C=C/C=1)O[C@@H]1O[C@@H](C)[C@H](O[C@H]2C[C@@H]([C@@H](O)[C@H](C)O2)OC)[C@H](C1)OC.O[C@@H]1C(C)=C[C@H]2C(=O)O[C@H]3C[C@@H](C/C=C(\C)[C@@H](O[C@@H]4O[C@H]([C@H](O[C@H]5C[C@@H]([C@@H](O)[C@H](C)O5)OC)[C@H](C4)OC)C)[C@@H](C)/C=C/C=C4\CO[C@H]1[C@@]42O)O[C@@]1(C3)O[C@H](C(C)C)[C@H](CC1)C,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1233
[nH]1c(n([C@@H]2O[C@H](COC(C(C)C)=O)[C@@H](O)[C@H]2O)cc/c1=N/O)=O,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.2012
OC1N(C2C(=O)CN(C=1c1ccccc1)C(C2C)=O)C1C(C(C(C(C1O)O)O)C)C,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.0801
C1[C@@H]2C[C@@H](C/C=C(\C)[C@@H](O[C@@H]3O[C@H]([C@H](O[C@H]4C[C@H](OC)[C@H]([C@H](C)O4)O)[C@@H](OC)C3)C)[C@H](/C=C/C=C3/[C@]4([C@H](C(O2)=O)C=C([C@@H](O)[C@H]4OC3)C)O)C)O[C@]21CC[C@@H]([C@H](O2)C(C)C)C.O(C)[C@H]1C[C@@H](O[C@@H](C)[C@@H]1O)O[C@H]1[C@H](C)O[C@H](C[C@@H]1OC)O[C@@H]1/C(C)=C/C[C@H]2O[C@]3(O[C@@H]([C@H](CC3)C)[C@@H](C)CC)C[C@@H](OC(=O)[C@@H]3C=C(C)[C@H]([C@@H]4[C@@]3(O)/C(CO4)=C/C=C/[C@@H]1C)O)C2,"diarrhea, nausea, itching, dizziness, stomach pain",Not Severe,0.1336
Oc1c(O)c(cc(c1O)[C@@H]1C[C@H]([C@H]([C@@H]([C@@H](O1)C)CC)O)O[C@H]1[C@@H]([C@H](O[C@@H](C1)O)N(C)C)O)O,"nausea, diarrhea, vomiting, dizziness, headache",Not Severe,0.1205
C(C(=O)O[C@@H]1[C@H](OC(=O)C(C)C)[C@@](N=[N+]=[N-])(COC(C(C)C)=O)O[C@H]1n1ccc(N)nc1=O)(C)C,"diarrhea, headache, nausea, dizziness, vomiting",Not Severe,0.0965
c1(ccc(cc1)O)-c1c(=O)c2c(oc1)cc(cc2)O,"diarrhea, flatulence, diarrhoea, nausea, stomach upset",Not Severe,0.3626
C(=O)(Oc1c(C(O)=O)cccc1)C,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1181
COC1C=c2c(nc(SCc3ccccc3F)[nH]c2=O)=CNC=1OC,"headache, dizziness, fatigue, vision problems, heart issues",Not Severe,0.1022
N(C(=O)C)[C@@H]1[C@H](C=C(C(=O)O)O[C@H]1[C@H](O)[C@@H](CO)O)N=C(N)N,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.1121
c1([C@H]2C(=C(c3ccc(cc3)-n3c4c(cncc4)nc3C)NC(C)=C2C(=O)Nc2ncccc2)C(=O)OCC)ccccc1Cl,"headache, dizziness, agitation, skin rash, urinary retention",Not Severe,0.1708
C(c1ccccc1)=CC(c1c(OC)cc(O)cc1O)=O,"headache, dizziness, nausea, diarrhea, stomach irritation",Not Severe,0.1952
n1cn(c(c1)N=C(N(C)C)SCCNC)C,"fatigue, headache, dizziness, skin irritation, redness",Not Severe,0.1405
c1cc(C(N(CC)CC)=O)cc(c1)C,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.1468
C1(O)N(C2C(=O)CN(C=1c1ccccc1)C(C2C)=O)C1C(C(C(C(O)C1O)O)C)C,"dizziness, headache, vomiting, nausea, diarrhea",Not Severe,0.0762
O[C@]12/C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@@H]5O[C@H]([C@H](O)[C@H](C5)OC)C)[C@H](C)O4)/C(C)=C/C[C@H]4O[C@@]5(C[C@@H](OC(=O)[C@@H]1C=C(C)[C@H]([C@H]2OC3)O)C4)O[C@@H]([C@@H](C)CC5)[C@@H](C)CC.[C@@H]1(O[C@H]2C[C@H](OC)[C@@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@@H](OC)C3)[C@H](C)O2)/C(=C/C[C@H]2O[C@]3(C[C@@H](OC([C@H]4[C@]5(O)/C(=C/C=C/[C@@H]1C)CO[C@@H]5[C@H](O)C(=C4)C)=O)C2)CC[C@@H]([C@@H](C(C)C)O3)C)C,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1274
c1cc(ccc1CC(C)C)C(C)C(=O)O,"nausea, vomiting, constipation, itching, headache",Not Severe,0.142
C1[C@H](N=C(N)N)[C@@H](NC(C)=O)[C@H]([C@@H]([C@@H](CO)O)O)OC=1C(O)=O,"dizziness, headache, nausea, diarrhea, vomiting",Not Severe,0.0725
N1C2C(CSc3nnnn3CC(O)=O)C(=O)N(C)C(C=2C(C)C(C1=O)N)=O,"photosensitivity, stomach upset, cough, dizziness, headaches",Not Severe,0.0741
O=c1c2c(O)cc(O)cc2oc(c1O)-c1cc(O)c(c(O)c1)O,"stomach upset, dizziness, nausea, diarrhea, headache",Not Severe,0.1897
c1cccc(C2=C(O)N(C3C(C(O)C(C(C)C3C)O)O)C3C(C)C(=O)N2CC3=O)c1,"stomach upset, dizziness, photosensitivity, cough, headaches",Not Severe,0.0569
c1c(-n2c(C)nc3c2ccnc3)ccc(c1)C1=C(C(=O)OCC)[C@H](c2c(cccc2)Cl)C(C(=O)Nc2ccccn2)=C(C)N1,"headache, vomiting, nausea, diarrhea, dizziness",Not Severe,0.2227
O1[C@@H]([C@@H](O)[C@H]([C@@H]1n1c([nH]/c(cc1)=N\O)=O)O)COC(=O)C(C)C,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1159
CCN(CC)CCCC(Nc1c2ccc(cc2ncc1)Cl)C,"constipation, stomach irritation, kidney damage, bleeding, drowsiness",Not Severe,0.1889
c1cc(C2=C(O)N(C3C(C)C(N2CC3=O)=O)C2C(C(C(O)C(C)C2C)O)O)ccc1,"dizziness, photosensitivity, stomach upset, cough, headaches",Not Severe,0.0672
c1c(C(c2ccccc2)CCN(C)C)ncc(Cl)c1,"drowsiness, dry mouth, dizziness, nausea, vomiting",Not Severe,0.241
C/C1=C\C[C@H]2O[C@]3(O[C@H]([C@H](CC)C)[C@H](CC3)C)C[C@H](C2)OC(=O)[C@@H]2C=C(C)[C@H]([C@H]3OC/C([C@]32O)=C\C=C\[C@H](C)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H]([C@@H](OC)C1)O[C@@H]1O[C@@H](C)[C@H](O)[C@H](C1)OC)O.C[C@@H]1O[C@@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@@]4(O3)CC[C@H](C)[C@H](O4)C(C)C)OC(=O)[C@@H]3C=C(C)[C@@H](O)[C@@H]4[C@@]3(O)/C(CO4)=C/C=C/[C@@H]2C)C[C@H](OC)[C@H]1O[C@H]1C[C@H](OC)[C@@H](O)[C@@H](O1)C,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1117
o1c(-c2ccc(O)cc2)cc(=O)c2c(c(-c3c(cc(c4c(=O)cc(oc34)-c3ccc(cc3)O)O)O)c(O)cc12)O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.233
CC(=O)Oc1ccccc1C(=O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1015
c1(c(=O)c2c(O)cc(cc2oc1-c1ccc(O)cc1)O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1344
CC1[C@@H](O)[C@@H]2[C@]3(/C(=C/C=C/[C@H](C)[C@@H](/C(=C/C[C@@H]4C[C@H](OC([C@@H]3C=1)=O)C[C@@]1(O4)CC[C@@H]([C@H](O1)[C@@H](C)CC)C)C)O[C@@H]1O[C@H]([C@H](O[C@@H]3O[C@@H](C)[C@H](O)[C@H](C3)OC)[C@H](C1)OC)C)CO2)O.[C@@]12(O)[C@@H]3C(=O)O[C@H]4C[C@H](O[C@]5(C4)CC[C@@H]([C@H](O5)C(C)C)C)C/C=C(/[C@@H](O[C@@H]4O[C@@H](C)[C@H](O[C@H]5C[C@@H]([C@H]([C@@H](O5)C)O)OC)[C@H](C4)OC)[C@H](/C=C/C=C/1CO[C@@H]2[C@@H](C(=C3)C)O)C)C,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1305
CCN(CC)C(=O)c1cc(C)ccc1,"diarrhea, dizziness, headache, skin irritation, redness",Not Severe,0.2129
c1c(O)ccc(C2Oc3cc(OC4OC(C(C(O)C4OC4OC(C)C(O)C(O)C4O)O)CO)cc(c3C(=O)C2)O)c1,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.1326
c1ccc(c(c1)F)CSc1nc2=CNC(=C(C=c2c(=O)[nH]1)OC)OC,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.135
C(C([O-])=O)(c1c(cccc1)C(C)c1ccccc1)C.[Na+],"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1333
O1[C@H]([C@@H]([C@@H](N=C(N)N)C=C1C(O)=O)NC(=O)C)[C@H](O)[C@@H](CO)O,"dizziness, diarrhea, nausea, headache, vomiting",Not Severe,0.1075
c1(cc(O)c(O)c(O)c1O)[C@@H]1C[C@H]([C@H]([C@@H]([C@H](C)O1)CC)O)O[C@@H]1C[C@@H](O)O[C@H](N(C)C)[C@H]1O,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1605
CN(CCC(c1ccccc1)c1ccc(cn1)Cl)C,"constipation, nausea, vomiting, loss of appetite, increased thirst",Not Severe,0.2908
CN(C(=Nc1cncn1C)SCCNC)C,"dizziness, headache, diarrhea, fatigue, stomach irritation",Not Severe,0.119
O[C@H]1[C@@H]([C@@H]2N(CC[C@@H]2O)C[C@@H]1OC(CCC)=O)O,"nausea, diarrhea, dizziness, itching, stomach pain",Not Severe,0.1311
N1(CCN(CC1)c1c2ccc(Cl)cc2cnc1)C,"constipation, headache, fatigue, stomach irritation, kidney damage",Not Severe,0.2259
[C@@]12(C)[C@@H](CC[C@@H]2[C@H](C)CCCC(C)C)/C(=C/C=C2\C(CC[C@@H](C2)O)=C)CCC1,"nausea, diarrhea, vomiting, itching, stomach pain",Not Severe,0.1145
C1=c2c(c([nH]c(SCc3c(F)cccc3)n2)=O)=CC(OC)=C(OC)N1,"dizziness, headache, agitation, skin rash, urinary retention",Not Severe,0.1427
CC(N[C@@H]1[C@@H](N=C(N)N)C=C(O[C@H]1[C@H](O)[C@H](O)CO)C(=O)O)=O,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.0819
C1[C@@H]([C@@H]2[C@H]([C@@H]([C@H](CN2C1)OC(CCC)=O)O)O)O,"nausea, dizziness, diarrhea, vomiting, itching",Not Severe,0.1274
c1(O)c(O)ccc(-c2oc3cc(O)cc(c3c(c2O)=O)O)c1,"headache, dizziness, nausea, diarrhea, vomiting",Not Severe,0.2166
[C@H]1([C@@H](OC(CCC)=O)CN2[C@@H]([C@H]1O)[C@@H](O)CC2)O,"dizziness, nausea, diarrhea, headache, sinus infection",Not Severe,0.1126
n1nnn(c1SCC1C(=O)N(C)C(=O)C2C(C(N)C(=O)NC1=2)C)CC(=O)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1016
[C@H]1(CO)O[C@@H](n2cnc(C(=O)N)n2)[C@H](O)[C@@H]1O,"dizziness, diarrhea, nausea, headache, flatulence",Not Severe,0.1431
c1cccc(C2Oc3c(c(cc(c3)OC)O)C(=O)C2)c1,"dizziness, nausea, diarrhea, headache, stomach irritation",Not Severe,0.1701
c1(N=C(SCCNC)N(C)C)cncn1C,"dizziness, fatigue, headache, stomach irritation, kidney damage",Not Severe,0.0924
c1cc(ncc1)NC(=O)C1=C(C)NC(c2ccc(cc2)-n2c(nc3cnccc32)C)=C([C@@H]1c1c(Cl)cccc1)C(OCC)=O,"headache, diarrhea, dizziness, nausea, vomiting",Not Severe,0.1255
c12c(ccc(Cl)c2)c(ccn1)NC(C)CCCN(CC)CC,"constipation, nausea, vomiting, loss of appetite, increased thirst",Not Severe,0.1925
c1(O)c(O)c2c(oc(-c3ccccc3)cc2=O)cc1O,"headache, dizziness, nausea, diarrhea, vomiting",Not Severe,0.1682
CN1CCC(CC1)=C1c2c(cccc2)CC(c2c1ccs2)=O,"headache, diarrhea, chills, cough, fever",Not Severe,0.162
CCN(CC)CCCC(Nc1c2ccc(Cl)cc2ncc1)C,"dizziness, nausea, vomiting, drowsiness, dry mouth",Not Severe,0.181
Oc1c(c(O)cc2oc(cc(=O)c21)-c1ccccc1)O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1721
C1(C(C(C)C(C(C1O)N1C(=C(c2ccccc2)N2CC(C1C(C)C2=O)=O)O)C)O)O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.0607
[C@@H]1(O[C@H]2[C@@H]([C@@H](N(C)C)O[C@@H](C2)O)O)C[C@H](O[C@H]([C@@H](CC)[C@@H]1O)C)c1c(c(O)c(c(c1)O)O)O,"diarrhea, nausea, dizziness, headache, vomiting",Not Severe,0.1144
O(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cc/c(=N/O)[nH]c1=O)C(=O)C(C)C,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.1205
Fc1c(cccc1)CSc1nc2c(c([nH]1)=O)=CC(OC)=C(NC=2)OC,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.116
c1c(O)cc(c(C(=O)C=Cc2ccccc2)c1OC)O,"dizziness, diarrhea, headache, nausea, vomiting",Not Severe,0.1426
c1(c(c2c(cc(O)cc2)oc1)=O)-c1ccc(O)cc1,"diarrhea, dizziness, headache, nausea, stomach irritation",Not Severe,0.2597
O=C(C1O[C@H]([C@H](NC(=O)C)[C@@H](N=C(N)N)C=1)[C@@H]([C@@H](CO)O)O)O,"diarrhea, nausea, headache, dizziness, stomach upset",Not Severe,0.0724
c1cc(CC(C)C)ccc1C(C)C(O)=O,"dizziness, skin irritation, redness, swelling, seizures",Not Severe,0.1535
Nc1nc(n([C@@H]2O[C@](COC(C(C)C)=O)([C@@H](OC(=O)C(C)C)[C@H]2OC(C(C)C)=O)N=[N+]=[N-])cc1)=O,"diarrhea, headache, dizziness, nausea, stomach pain",Not Severe,0.1271
c1c(ccc(O)c1)-c1c(=O)c2c(oc1)cc(O)cc2,"nausea, diarrhea, headache, dizziness, flatulence",Not Severe,0.288
CC(C)Cc1ccc(C(C)C(=O)O)cc1,"dizziness, headache, itching, nausea, vomiting",Not Severe,0.1568
c1c2c(c(O)cc1O)c(c(OC1C(O)C(O)C(O)C(O1)CO)c(o2)-c1ccc(O)c(c1)O)=O,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.1574
Clc1cnc(cc1)C(c1ccccc1)CCN(C)C,"fatigue, headache, constipation, stomach irritation, kidney damage",Not Severe,0.2159
C1=c2c([nH]c(SCc3ccccc3F)nc2=CNC(OC)=C1OC)=O,"diarrhea, headache, dizziness, nausea, fever",Not Severe,0.1146
C1(C(C)C2=C(C(C(N(C)C2=O)=O)CSc2nnnn2CC(O)=O)NC1=O)N,"headache, vision problems, heart issues, energy failure, agitation",Not Severe,0.0678
[C@H]1(CO)O[C@@H](n2nc(nc2)C(=O)N)[C@H](O)[C@@H]1O,"diarrhea, dizziness, nausea, headache, flatulence",Not Severe,0.136
C1(OC2C(C(O)C(C(C)O2)O)O)C(OC(CO)C(C1O)O)Oc1cc2OC(c3ccc(O)cc3)CC(=O)c2c(O)c1,"dizziness, headache, diarrhea, vomiting, nausea",Not Severe,0.1277
C1(C)=C[C@H]2C(O[C@H]3C[C@@H](C/C=C(/[C@H]([C@H](/C=C/C=C4/[C@]2(O)[C@@H]([C@@H]1O)OC4)C)O[C@H]1C[C@H](OC)[C@@H](O[C@@H]2O[C@@H](C)[C@@H]([C@H](C2)OC)O)[C@@H](O1)C)C)O[C@]1(C3)CC[C@H](C)[C@@H](C(C)C)O1)=O.C[C@H]1CC[C@]2(C[C@@H]3C[C@H](O2)C/C=C(\C)[C@@H](O[C@H]2C[C@@H]([C@H]([C@@H](O2)C)O[C@@H]2O[C@H]([C@H](O)[C@@H](OC)C2)C)OC)[C@@H](C)/C=C/C=C2\CO[C@H]4[C@]2(O)[C@@H](C=C(C)[C@H]4O)C(=O)O3)O[C@@H]1[C@@H](C)CC,"nausea, diarrhea, itching, dizziness, vomiting",Not Severe,0.1159
CC(C(O[C@H]1[C@H]([C@@H](O[C@@]1(COC(C(C)C)=O)N=[N+]=[N-])n1ccc(N)nc1=O)OC(C(C)C)=O)=O)C,"nausea, diarrhea, headache, vomiting, dizziness",Not Severe,0.1068
O(C)[C@H]1C[C@H](O[C@@H]2/C(=C/C[C@@H]3C[C@@H](C[C@@]4(O3)CC[C@@H]([C@@H]([C@H](CC)C)O4)C)OC([C@H]3[C@@]4(/C(CO[C@@H]4[C@@H](C(C)=C3)O)=C/C=C/[C@@H]2C)O)=O)C)O[C@@H](C)[C@@H]1O[C@H]1C[C@@H]([C@H]([C@@H](O1)C)O)OC.O([C@@H]1[C@H]([C@@H](O[C@H](C1)O[C@@H]1/C(C)=C/C[C@H]2O[C@]3(C[C@H](C2)OC(=O)[C@@H]2C=C([C@H]([C@@H]4[C@]2(/C(CO4)=C/C=C/[C@@H]1C)O)O)C)CC[C@@H]([C@H](O3)C(C)C)C)C)O[C@@H]1O[C@H]([C@@H]([C@@H](OC)C1)O)C)C,"diarrhea, nausea, itching, dizziness, stomach pain",Not Severe,0.1274
c12c(c([nH]c(n1)SCc1ccccc1F)=O)=CC(=C(OC)NC=2)OC,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1186
O=C(OC[C@@]1([C@@H](OC(=O)C(C)C)[C@@H](OC(C(C)C)=O)[C@@H](O1)n1c(=O)nc(N)cc1)N=[N+]=[N-])C(C)C,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.0993
c1(=O)c2c(cc(O)cc2O)oc(-c2ccc(O)c(c2)O)c1O,"headache, dizziness, nausea, diarrhea, vomiting",Not Severe,0.2021
C(=O)(OC[C@H]1O[C@@H](n2c(=O)[nH]/c(cc2)=N\O)[C@@H]([C@@H]1O)O)C(C)C,"nausea, diarrhea, headache, dizziness, vomiting",Not Severe,0.1066
c1c(C2CC(c3c(cc(OC)cc3O)O2)=O)cccc1,"headache, dizziness, stomach irritation, kidney damage, bleeding",Not Severe,0.1774
N(c1n(cnc1)C)=C(SCCNC)N(C)C,"dizziness, bloating, gas, diarrhea, belly pain",Not Severe,0.1205
c1c(ccc2c(NC(CCCN(CC)CC)C)ccnc12)Cl,"constipation, headache, fatigue, nausea, vomiting",Not Severe,0.2417
C(/C=C(C)/C=C/C=C(/C=C/C1=C(C)CCCC1(C)C)C)(=O)Nc1ccc(O)cc1,"skin dryness, night-blindness, headache, agitation, skin rash",Not Severe,0.086
C(c1ccc(Cl)cn1)(c1ccccc1)CCN(C)C,"nausea, vomiting, constipation, loss of appetite, increased thirst",Not Severe,0.2746
c1(O)ccc(-c2oc3cc(c(-c4c(O)cc(O)c5c4oc(cc5=O)-c4ccc(O)cc4)c(c3c(c2)=O)O)O)cc1,"dizziness, headache, vomiting, nausea, diarrhea",Not Severe,0.2057
c1c(cccc1)C=CC(c1c(cc(O)cc1O)OC)=O,"nausea, diarrhea, headache, dizziness, skin irritation",Not Severe,0.1641
[C@@H]1(NC(C)=O)[C@H](C=C(C(=O)O)O[C@H]1[C@@H]([C@H](O)CO)O)N=C(N)N,"dizziness, nausea, diarrhea, headache, vomiting",Not Severe,0.0751
CC(=O)Oc1ccccc1C(O)=O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1051
c1c2oc(-c3ccc(cc3)O)cc(=O)c2c(c(-c2c3oc(-c4ccc(O)cc4)cc(=O)c3c(O)cc2O)c1O)O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.2376
C(C)(NCC(c1ccc(Nc2ccccn2)cc1)O)C,"dizziness, headache, diarrhea, nausea, vomiting",Not Severe,0.1255
[C@]1(N=[N+]=[N-])(COC(C(C)C)=O)[C@@H](OC(=O)C(C)C)[C@H]([C@@H](O1)n1c(nc(N)cc1)=O)OC(=O)C(C)C,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.0819
[Na+].c1(ccccc1C(C)c1ccccc1)C(C)C([O-])=O,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.121
c1c(NC(=O)C)ccc(O)c1,"nausea, diarrhea, skin irritation, redness, swelling",Not Severe,0.1836
C1(N)C(C)C2C(=O)N(C)C(C(CSc3n(nnn3)CC(O)=O)C=2NC1=O)=O,"diarrhea, headache, dizziness, nausea, vomiting",Not Severe,0.0778
c1c2c(c(O)cc1OC)C(CC(c1ccccc1)O2)=O,"diarrhea, dizziness, headache, nausea, vomiting",Not Severe,0.1383
n1(c(nc2cnccc12)C)-c1ccc(C2=C([C@@H](C(C(Nc3ccccn3)=O)=C(N2)C)c2c(Cl)cccc2)C(=O)OCC)cc1,"headache, dizziness, diarrhea, vomiting, nausea",Not Severe,0.1094
